UTC_hour,IST_hour,Percentage_incident_with_non_null_value
23,4,2.5641
20,1,4.3478
20,2,5.7143
4,9,8.2645
0,5,10.2804
2,7,11.5044
16,21,12.7660
22,3,13.8889
15,20,14.1860
6,11,14.5497
3,8,14.6104
1,6,14.7368
18,23,15.6863
13,18,16.8478
19,0,20.0000
5,10,20.1794
12,17,22.9213
8,13,23.0079
17,22,23.1672
10,15,25.3401
7,12,27.8395
9,14,29.7600
14,19,30.9979
11,16,31.7215
